佣兵,等级,硬币,任务
雷克萨,0,466,0,0/0,,
闪狐,1,2332,1,0/80,进行中,使用奥术飞掷造成80点伤害。
迪亚波罗,30,300,0,0/0,,
凯瑞尔·罗姆,30,5000,8,1/4,进行中,利用灵魂医者4次。
洛卡拉,30,5703,2,0/25,进行中,使用进攻集结获得25点攻击力。
伊利丹·怒风,0,280,0,0/0,,
泽瑞拉,30,2707,8,0/2,进行中,利用赐福：施法者2次。
米尔豪斯·法力风暴,30,3613,1,77/100,进行中,使用魔爆术造成100点伤害。
加拉克苏斯大王,0,181,0,0/0,,
拉格纳罗斯,30,93,17,152/600,进行中,使用熔岩冲击造成600点伤害。
厨师曲奇,30,240,14,273/300,进行中,使用鱼类大餐获得300点生命值。
希尔瓦娜斯·风行者,0,387,0,0/0,,
魔像师卡扎库斯,1,366,1,0/35,进行中,使用暗影之爪造成35点伤害。
布鲁坎,30,340,13,0/4,进行中,完成4个英雄难度悬赏。
斯尼德,0,252,0,0/0,,
艾德温，迪菲亚首脑,0,250,0,0/0,,
迦顿男爵,30,136,10,2/15,进行中,使一个友方技能的速度值加快（1）点，完成15次。
瓦莉拉·萨古纳尔,0,427,0,0/0,,
阿莱克丝塔萨,0,346,0,0/0,,
尤朵拉,0,174,0,0/0,,
重拳先生,12,535,1,14/90,进行中,使用重拳猛击造成90点伤害。
梵妮莎·范克里夫,19,11,1,0/55,进行中,使用剽窃轰击造成55点伤害。
凯恩·血蹄,30,455,0,0/0,,
光明之翼,30,1166,1,0/70,进行中,使用精灵吐息造成70点伤害。
空军上将罗杰斯,0,168,0,0/0,,
巴琳达·斯通赫尔斯,30,136,14,1/25,进行中,使用冰霜之刺25次。
格鲁尔,19,1012,1,0/55,进行中,使用癫狂乱舞获得55点攻击力。
加尔范上尉,0,240,0,0/0,,
冰雪之王洛克霍拉,30,303,12,0/10,进行中,使用雪球在一回合内造成50点或以上伤害，完成10次。
拉希奥,1,69,1,0/50,进行中,使用蠕行疯狂造成50点伤害。
希奈丝特拉,30,231,14,0/15,进行中,击败15条龙。
珑心,0,53,0,0/0,,
玉珑,30,336,1,0/55,进行中,使用青玉劲风造成55点伤害。
赤精,0,210,0,0/0,,
瓦丝琪女士,0,155,0,0/0,,
